"","X0477.IgAneg","X0477.IgApos","X0477.IgGneg","X0477.IgGpos","X0477.pre","X7313.IgAneg","X7313.IgApos","X7313.IgGneg","X7313.IgGpos","X7313.pre","X9329.IgAneg","X9329.IgApos","X9329.IgGneg","X9329.IgGpos","X9329.pre","X8489.IgApos","X6095.IgApos","X6095.IgAneg","X6095.pre","X6095.IgGpos","X8489.IgAneg","X6095.IgGneg","X8489.pre","X8489.IgGpos","X8489.IgGneg","X1275.IgApos","X1275.IgAneg","X1275.pre","X9366.IgApos","X9366.IgAneg","X9366.pre","X9366.IgGpos","X9366.IgGneg","X1275.IgGpos","X1275.IgGneg","X2225.IgApos","X2225.IgAneg","X2225.pre","X2225.IgGpos","X2225.IgGneg","X4608.IgApos","X4608.IgAneg","X4608.pre","X4608.IgGpos","X4608.IgGneg","X8296.IgApos","X8296.IgAneg","X8296.pre","X8296.IgGpos","X8296.IgGneg","X3124.IgApos","X3124.IgAneg","X8531.IgApos","X8531.IgAneg","X8531.pre","X8531.IgGpos","X3124.pre","X8531.IgGneg","X3124.IgGpos","X3124.IgGneg"
"ASV1",4,22,8,0,7,5,9,15,0,3,42,8,32,11,55,2359,528,2237,1698,226,1633,2022,2020,459,2620,1142,3779,3835,291,1603,1484,294,1611,3339,3277,286,65,198,246,97,1829,2957,2872,624,2703,494,518,2164,239,586,246,949,1988,3829,3435,189,926,3538,142,875
"ASV2",1511,256,1066,424,949,965,130,1004,121,572,430,395,515,221,288,29,376,263,217,459,552,340,219,41,342,222,306,221,32,837,945,66,1185,127,445,467,1413,874,426,1421,137,194,190,152,177,361,713,324,303,668,269,1013,262,275,196,747,376,259,223,682
"ASV3",225,368,201,352,264,1155,796,1586,541,1464,333,61,586,69,368,416,81,182,111,71,1970,176,1097,1107,1097,202,1448,1193,1,7,5,2,9,229,2058,594,368,552,605,442,59,242,147,29,238,41,15,22,29,26,886,537,535,1331,934,1716,653,831,351,759
"ASV4",2118,31,975,84,345,957,362,949,485,559,1376,401,2362,334,1118,415,342,260,226,366,1720,130,585,47,617,226,808,913,2070,343,41,2056,186,318,668,367,88,219,262,139,145,255,117,205,530,560,1890,626,330,1890,102,122,364,1229,1028,99,168,1216,190,152
"ASV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,239,1852,1419,183,729,1783,726,156,973,197,979,787,331,2697,2436,194,2503,100,1109,238,78,159,208,84,159,1577,942,46,866,0,0,13,0,0,87,1194,509,208,293,33,807,384,115,922
"ASV6",55,128,86,27,76,270,134,212,186,276,39,32,28,38,49,694,288,223,208,187,134,220,482,267,459,412,167,198,596,1717,1833,412,1923,186,173,978,179,413,952,256,631,169,319,669,265,156,80,102,58,139,373,282,286,215,178,165,368,233,390,336
"ASV7",12,13,28,17,41,95,191,231,67,159,368,342,280,554,413,186,783,243,374,759,408,383,280,118,348,96,34,42,251,10,65,202,15,45,45,340,124,219,332,127,189,202,180,207,223,213,801,433,148,669,281,646,466,259,282,233,493,314,389,636
"ASV8",0,0,0,0,0,56,123,57,150,107,32,176,35,47,61,636,85,289,210,605,480,124,619,577,719,516,268,278,243,255,129,218,218,379,256,291,1633,1095,1042,892,811,268,286,1547,276,0,0,0,0,0,1025,550,0,0,0,0,804,0,691,795
"ASV9",0,576,141,530,224,306,460,322,253,323,227,2300,176,798,486,401,163,15,43,159,125,23,267,161,265,259,12,32,1184,37,200,987,98,85,22,182,161,132,41,260,156,115,119,53,161,611,437,294,362,545,220,200,51,73,65,86,150,70,80,210
"ASV10",502,697,689,277,531,867,497,765,434,648,214,236,282,134,218,303,85,105,98,234,227,77,321,221,263,159,168,168,30,133,82,150,63,122,234,186,271,228,222,190,101,175,229,124,243,146,145,114,134,161,186,326,342,41,114,199,341,80,232,349
"ASV11",4,1230,18,2132,452,485,448,28,1875,497,890,778,253,1471,770,484,32,29,22,17,24,25,265,2018,30,150,10,19,111,5,20,108,5,75,8,813,23,486,769,93,129,27,63,239,49,1097,380,442,288,590,453,176,416,1,126,417,159,24,178,156
"ASV12",0,0,0,0,0,322,98,366,96,237,1734,195,1891,941,1404,140,79,9,41,101,14,12,59,350,21,176,23,28,194,18,47,213,15,79,23,123,29,90,132,36,240,40,131,375,96,272,12,33,646,20,400,7,0,2,0,0,132,2,400,54
"ASV13",16,19,12,15,0,79,133,158,34,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,20,0,0,0,0,0,11,21,0,0,0,13,9,6,38,13,9,36,267,1043,565,137,886,131,447,102,66,83,52,338,99,186,396
"ASV14",34,504,150,296,198,88,215,38,211,120,29,437,22,178,98,57,131,47,46,170,46,59,57,100,31,221,57,62,97,20,32,105,30,152,92,204,136,121,185,156,165,51,80,244,84,197,240,132,308,205,456,10,213,14,77,483,116,34,253,55
"ASV15",581,300,512,55,430,133,144,109,200,91,25,17,0,98,34,35,105,46,39,127,17,53,24,23,20,49,5,4,106,331,318,978,104,16,3,276,290,203,196,299,102,11,56,143,47,115,168,100,69,144,102,11,287,93,128,280,41,140,48,32
"ASV16",150,265,199,26,390,11,5,27,0,14,105,12,172,41,116,19,30,107,78,24,138,103,88,21,75,11,7,11,10,10,6,4,7,3,10,0,0,0,0,0,11,10,16,3,14,202,1641,542,66,1024,5,7,17,21,18,0,2,17,5,7
"ASV17",0,0,0,0,0,184,73,337,33,176,0,0,0,0,0,9,187,159,146,61,0,235,0,0,24,0,29,0,0,0,0,0,0,0,0,0,211,106,9,148,45,121,61,12,98,0,33,17,0,23,0,0,117,391,266,592,0,203,0,0
"ASV18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,5,35,20,0,39,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,89,72,76,24,88,0,0,0,0,0,761,235,75,311,211,16,418,284,636,297
"ASV19",48,350,210,78,179,938,1164,1191,535,1180,442,231,293,442,506,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,56,205,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,12,85,25,223,126,342,282,47,298,15,48
"ASV20",0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"ASV21",83,162,132,35,137,152,199,170,86,104,207,1175,110,432,281,82,42,2,13,80,12,3,35,98,47,82,47,57,59,56,92,38,81,81,76,105,138,105,70,175,95,71,70,42,128,345,132,150,434,128,205,20,115,3,46,363,107,19,109,66
"ASV22",0,196,45,116,74,6,316,0,168,46,63,554,0,186,97,32,29,4,11,89,0,0,14,10,13,150,8,18,116,50,26,229,12,72,0,108,22,70,224,32,240,56,81,328,72,115,11,22,195,31,311,14,131,0,51,596,107,7,471,40
