UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC8,UC9,UC10,UC11,CD3,CD4,CD5,CD6,CD7,CD8,CD10,CD11,CD14,CD15,H1,H2,H3,D1,A04,A05,A06,A07,A11,A12,A14,A15
Escherichia/Shigella,Lactobacillus rhamnosus GG,Enterococcus sp.,Staphylococcus capitis,Blautia obeum,,Blautia obeum,Desulfovibrio desulfuricans,,Bacteroides fragilis,Collinsella aerofaciens,Escherichia/Shigella,Bacteroides vulgatus,Klebsiella oxytoca,Staphylococcus capitis,Eggerthella lenta,Escherichia/Shigella,,Fusobacterium ulcerans,Lactobacillus gasseri,Clostridium innocuum,Bacteroides vulgatus,Enterococcus faecalis,Enterococcus faecalis,Streptococcus equinus,Parabacteroides distasonis,Escherichia/Shigella,Hungatella hathewayi,Ruminococcus gnavus,Collinsella aerofaciens,Clostridium innocuum,Clostridium chauvoei,Unclassified Phascolarctobacterium
Rothia mucilaginosa ,Escherichia/Shigella,Streptococcus anginosus,Enterococcus faecalis,Bacteroides vulgatus ,,Flavonifractor plautii,,,Ruminococcus gnavus,Bifidobacterium longum,Gardnerella vaginalis,Veillonella parvula,Escherichia/Shigella,Escherichia/Shigella,Ruminococcus gnavus,Staphylococcus epidermidis,,Bacteroides vulgatus,Clostridium botulinum,Collinsella aerofaciens,Flavonifractor plautii,Escherichia/Shigella,Staphylococcus epidermidis,Bifidobacterium bifidum,Citrobacter freundii,Enterococcus faecium,Eggerthella lenta,Bifidobacterium longum,Erysipelatoclostridium ramosum,Erysipelatoclostridium ramosum,Clostridium symbiosum,Ruminococcus torques
Gemella sanguinis,Clostridium perfringens,Klebsiella,Tyzzerella nexilis,Bacteroides cellulosilyticus,,Ruminococcus gnavus,,,Escherichia/Shigella,Escherichia/Shigella,Clostridium innocuum,Ruminococcus gnavus,Unclassified Enterobacteriaceae,Ruminococcus gnavus,Bacteroides vulgatus,Candida albicans,,Ruminococcus gnavus,Bifidobacterium pseudolongum,Erysipelatoclostridium ramosum,Blautia hansenii 99.42%,Staphylococcus lugdunensis ,Staphylococcus capitis,,Bifidobacterium longum,Clostridium innocuum,Bacteroides thetaiotaomicron,Clostridium innocuum 97%,,Clostridium symbiosum,Clostridium bolteae,Tyzzerella nexilis 94%
Collinsella aerofaciens,Ruminococcus gnavus,,Proteus mirabilis,Phascolarctobacterium succinatutens,,Arabia massiliensis,,,,,Bacteroides fragilis,Erysipelatoclostridium ramosum,Haemophilus parainflluenzae,Clostridium innocuum,Tyzzerella nexilis,,,Arabia massiliensis,,Bacteroides uniformis,Staphylococcus epidermidis,Lactobacillus fermentum,,,Ruminococcus gnavus,Bacteroides fragilis,Bilophila wadsworthia,,,Flavonifractor plautii,Ruminococcus gnavus,Erysipelatoclostridium ramosum
Ruminococcus torques,,,Flavonifractor plautii ,Collinsella aerofaciens ,,Unclassified Lachnospiraceae,,,,,Eisenbergiella tayi,Bacteroides sp.,Clostridium innocuum,Escherichia/Shigella,,,,Clostridium innocuum ,,Ruminococcus gnavus,Lactobacillus rhamnosus ,Enterococcus gilvus,,,,Clostridium baratii,Desulfovibrio desulfuricans,,,,Bacteroides ovatus,Bacteroides vulgatus
Bacteroides caccae,Bacteroides fragilis,,Escherichia/Shigella,Bilophila wadsworthia,,Bifidobacterium longum,,,,,Oscillibacter ruminantium,Escherichia/Shigella,Parabacteroides distasonis,Bacteroides vulgatus,Clostridium innocuum,,,Parabacteroiodes distasonis,,Bacteroides fragiis,Staphylococcus lugdunensis ,Bifidobacterium longum,,,,Parabacteroides distasonis,Escherichia/Shigella,,,,Klebsiella pneumoniae,Ruminococcus gnavus
Bacteroides thetaiotaomicron,Bacteroides uniformis,,Fusobacterium nucleatum,Enterococcus hermanniensis,,Bifidobacterium bifidum,,,,,Parvimonas sp.,Tyzzerella nexilis,Blautia hansenii,Pseudozyma aphidis,Klebsiella pneumoniae,,,Flavonifractor plautii,,Klebsiella pneumoniae,Streptococcus equinus,Veillonella parvula,,,,Klebsiella pneumoniae,Massiliomicrobiota timonensis,,,,Flavonifractor plautii,Eubacterium oxidoreducens
Veillonella atypica,Bilophila wadsworthia,,Lactobacillus gasseri ,Eggerthella lenta,,,,,,,Clostridium symbiosum,,Ruminococcus torques,,,,,Clostridium symbiosum,,Bacteroides vulgatus 97%,,Lactobacillus rhamnosus,,,,Morganella morganii,Clostridium saccharogumia,,,,Erysipelatoclostridium ramosum,Bacteroides uniformis
,Eggerthella lenta,,Proteus sp.,Enterococcus gilvus ,,,,,,,,,Blautia coccoides,,,,,Cetobacterium somerae,,,,Lactobacillus plantarum,,,,,Clostridium innocuum,,,,Tyzzerella nexilis 94%,
,Parabacteroides merdae,,Unclassified Erysipelotrichaceae,Unclassified Erysipelotrochaceae,,,,,,,,,Flavonifractor plautii,,,,,Alistipes finegoldii,,,,,,,,,,,,,,
,Unclassified Erysipelotrichaceae,,,,,,,,,,,,Bacteroides thetaiotaomicron,,,,,Hungatella hathewayi,,,,,,,,,,,,,,
,,,,,,,,,,,,,Actinomyces odontolyticus,,,,,Bifidobacterium bifidum,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bacteroides cellulosilyticus,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bacteroides ovatus,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bilophila wadsworthia,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Parabacteroides johnsonii,,,,,,,,,,,,,,
